Date,Close
02/01/2015 ,27.33
05/01/2015 ,26.56
06/01/2015 ,26.57
07/01/2015 ,26.94
08/01/2015 ,27.97
09/01/2015 ,28
12/01/2015 ,27.31
13/01/2015 ,27.56
14/01/2015 ,27.45
15/01/2015 ,26.71
16/01/2015 ,26.5
20/01/2015 ,27.18
21/01/2015 ,27.39
22/01/2015 ,28.1
23/01/2015 ,28.25
26/01/2015 ,28.28
27/01/2015 ,27.29
28/01/2015 ,28.83
29/01/2015 ,29.73
30/01/2015 ,29.29
02/02/2015 ,29.66
03/02/2015 ,29.66
04/02/2015 ,29.89
05/02/2015 ,29.99
06/02/2015 ,29.73
09/02/2015 ,29.93
10/02/2015 ,30.51
11/02/2015 ,31.22
12/02/2015 ,31.62
13/02/2015 ,31.77
17/02/2015 ,31.96
18/02/2015 ,32.18
19/02/2015 ,32.11
20/02/2015 ,32.37
23/02/2015 ,33.25
24/02/2015 ,33.04
25/02/2015 ,32.2
26/02/2015 ,32.6
27/02/2015 ,32.12
02/03/2015 ,32.27
03/03/2015 ,32.34
04/03/2015 ,32.14
05/03/2015 ,31.6
06/03/2015 ,31.65
09/03/2015 ,31.79
10/03/2015 ,31.13
11/03/2015 ,30.56
12/03/2015 ,31.11
13/03/2015 ,30.9
16/03/2015 ,31.24
17/03/2015 ,31.76
18/03/2015 ,32.12
19/03/2015 ,31.87
20/03/2015 ,31.48
23/03/2015 ,31.8
24/03/2015 ,31.67
25/03/2015 ,30.85
26/03/2015 ,31.06
27/03/2015 ,30.81
30/03/2015 ,31.59
31/03/2015 ,31.11
01/04/2015 ,31.06
02/04/2015 ,31.33
06/04/2015 ,31.84
07/04/2015 ,31.5
08/04/2015 ,31.4
09/04/2015 ,31.64
10/04/2015 ,31.78
13/04/2015 ,31.71
14/04/2015 ,31.58
15/04/2015 ,31.7
16/04/2015 ,31.54
17/04/2015 ,31.19
20/04/2015 ,31.9
21/04/2015 ,31.73
22/04/2015 ,32.16
23/04/2015 ,32.42
24/04/2015 ,32.57
27/04/2015 ,33.16
28/04/2015 ,32.64
29/04/2015 ,32.16
30/04/2015 ,31.29
01/05/2015 ,32.24
04/05/2015 ,32.17
05/05/2015 ,31.45
06/05/2015 ,31.25
07/05/2015 ,31.32
08/05/2015 ,31.91
11/05/2015 ,31.58
12/05/2015 ,31.47
13/05/2015 ,31.5
14/05/2015 ,32.24
15/05/2015 ,32.19
18/05/2015 ,32.55
19/05/2015 ,32.52
20/05/2015 ,32.52
21/05/2015 ,32.85
22/05/2015 ,33.14
26/05/2015 ,32.41
27/05/2015 ,33.01
28/05/2015 ,32.95
29/05/2015 ,32.57
01/06/2015 ,32.63
02/06/2015 ,32.49
03/06/2015 ,32.53
04/06/2015 ,32.34
05/06/2015 ,32.16
08/06/2015 ,31.95
09/06/2015 ,31.86
10/06/2015 ,32.22
11/06/2015 ,32.15
12/06/2015 ,31.79
15/06/2015 ,31.73
16/06/2015 ,31.9
17/06/2015 ,31.83
18/06/2015 ,31.97
19/06/2015 ,31.65
22/06/2015 ,31.9
23/06/2015 ,31.76
24/06/2015 ,32.03
25/06/2015 ,31.88
26/06/2015 ,31.69
29/06/2015 ,31.13
30/06/2015 ,31.36
01/07/2015 ,31.65
02/07/2015 ,31.61
06/07/2015 ,31.5
07/07/2015 ,31.42
08/07/2015 ,30.64
09/07/2015 ,30.02
10/07/2015 ,30.82
13/07/2015 ,31.42
14/07/2015 ,31.4
15/07/2015 ,31.71
16/07/2015 ,32.13
17/07/2015 ,32.41
20/07/2015 ,33.02
21/07/2015 ,32.69
22/07/2015 ,31.31
23/07/2015 ,31.29
24/07/2015 ,31.13
27/07/2015 ,30.69
28/07/2015 ,30.85
29/07/2015 ,30.75
30/07/2015 ,30.59
31/07/2015 ,30.33
03/08/2015 ,29.61
04/08/2015 ,28.66
05/08/2015 ,28.85
06/08/2015 ,28.78
07/08/2015 ,28.88
10/08/2015 ,29.93
11/08/2015 ,28.37
12/08/2015 ,28.81
13/08/2015 ,28.79
14/08/2015 ,28.99
17/08/2015 ,29.29
18/08/2015 ,29.13
19/08/2015 ,28.75
20/08/2015 ,28.16
21/08/2015 ,26.44
24/08/2015 ,25.78
25/08/2015 ,25.94
26/08/2015 ,27.42
27/08/2015 ,28.23
28/08/2015 ,28.32
