Date,Close
02/01/2015 ,523.37
05/01/2015 ,512.46
06/01/2015 ,500.59
07/01/2015 ,499.73
08/01/2015 ,501.3
09/01/2015 ,494.81
12/01/2015 ,491.2
13/01/2015 ,494.82
14/01/2015 ,499.5
15/01/2015 ,500.42
16/01/2015 ,506.69
20/01/2015 ,505.51
21/01/2015 ,516.62
22/01/2015 ,532.93
23/01/2015 ,538.47
26/01/2015 ,533.74
27/01/2015 ,517.21
28/01/2015 ,508.6
29/01/2015 ,509.26
30/01/2015 ,533.06
02/02/2015 ,527.03
03/02/2015 ,527.79
04/02/2015 ,521.33
05/02/2015 ,526.14
06/02/2015 ,529.55
09/02/2015 ,526.39
10/02/2015 ,535.47
11/02/2015 ,534.5
12/02/2015 ,541.44
13/02/2015 ,547.51
17/02/2015 ,541.35
18/02/2015 ,538.22
19/02/2015 ,541.38
20/02/2015 ,537.47
23/02/2015 ,530.45
24/02/2015 ,534.62
25/02/2015 ,542.38
26/02/2015 ,553.96
27/02/2015 ,556.87
02/03/2015 ,569.78
03/03/2015 ,572.07
04/03/2015 ,571.8
05/03/2015 ,573.75
06/03/2015 ,566.13
09/03/2015 ,567.29
10/03/2015 ,553.49
11/03/2015 ,549.67
12/03/2015 ,553.99
13/03/2015 ,545.82
16/03/2015 ,552.99
17/03/2015 ,549.33
18/03/2015 ,557.97
19/03/2015 ,556.46
20/03/2015 ,558.83
23/03/2015 ,557.28
24/03/2015 ,568.63
25/03/2015 ,557.25
26/03/2015 ,553.65
27/03/2015 ,546.84
30/03/2015 ,550.52
31/03/2015 ,546.5
01/04/2015 ,541.07
02/04/2015 ,534.06
06/04/2015 ,535.29
07/04/2015 ,535.55
08/04/2015 ,540.13
09/04/2015 ,539.3
10/04/2015 ,538.53
13/04/2015 ,537.69
14/04/2015 ,528.94
15/04/2015 ,531.07
16/04/2015 ,532.34
17/04/2015 ,522.62
20/04/2015 ,533.91
21/04/2015 ,532.51
22/04/2015 ,537.89
23/04/2015 ,545.5
24/04/2015 ,563.51
27/04/2015 ,555.37
28/04/2015 ,553.68
29/04/2015 ,549.08
30/04/2015 ,537.34
01/05/2015 ,537.9
04/05/2015 ,540.78
05/05/2015 ,530.8
06/05/2015 ,524.22
07/05/2015 ,530.7
08/05/2015 ,538.22
11/05/2015 ,535.7
12/05/2015 ,529.04
13/05/2015 ,529.62
14/05/2015 ,538.4
15/05/2015 ,533.85
18/05/2015 ,532.3
