Date,Close
02/01/2015 ,49.85
05/01/2015 ,47.31
06/01/2015 ,46.5
07/01/2015 ,46.74
08/01/2015 ,47.78
09/01/2015 ,47.04
12/01/2015 ,45.55
13/01/2015 ,46.26
14/01/2015 ,46.32
15/01/2015 ,46.25
16/01/2015 ,48.19
20/01/2015 ,49.83
21/01/2015 ,58.47
22/01/2015 ,61.21
23/01/2015 ,62.49
26/01/2015 ,63.79
27/01/2015 ,64.88
28/01/2015 ,63.21
29/01/2015 ,63.4
30/01/2015 ,63.11
02/02/2015 ,63.01
03/02/2015 ,65.27
04/02/2015 ,64.1
05/02/2015 ,64.13
06/02/2015 ,63.48
09/02/2015 ,63.3
10/02/2015 ,64.85
11/02/2015 ,64.98
12/02/2015 ,65.25
13/02/2015 ,66.59
17/02/2015 ,67.14
18/02/2015 ,67.87
19/02/2015 ,67.8
20/02/2015 ,68.31
23/02/2015 ,67.41
24/02/2015 ,67.84
25/02/2015 ,68.33
26/02/2015 ,69
27/02/2015 ,67.84
02/03/2015 ,68.61
03/03/2015 ,67.82
04/03/2015 ,67.11
05/03/2015 ,66.81
06/03/2015 ,64.87
09/03/2015 ,63.66
10/03/2015 ,62.15
11/03/2015 ,62.88
12/03/2015 ,64.05
13/03/2015 ,62.63
16/03/2015 ,60.28
17/03/2015 ,59.79
18/03/2015 ,60.45
19/03/2015 ,60.74
20/03/2015 ,61.19
23/03/2015 ,60.71
24/03/2015 ,62.61
25/03/2015 ,60.25
26/03/2015 ,59.75
27/03/2015 ,59.25
30/03/2015 ,60.37
31/03/2015 ,59.53
01/04/2015 ,59.02
02/04/2015 ,59.15
06/04/2015 ,60.33
07/04/2015 ,60.49
08/04/2015 ,63.05
09/04/2015 ,62.79
10/04/2015 ,64.94
13/04/2015 ,67.81
14/04/2015 ,68.39
15/04/2015 ,67.92
16/04/2015 ,80.29
17/04/2015 ,81.65
20/04/2015 ,81.06
21/04/2015 ,80.06
22/04/2015 ,79.67
23/04/2015 ,79.87
24/04/2015 ,79.77
27/04/2015 ,80.87
28/04/2015 ,80.44
29/04/2015 ,80.41
30/04/2015 ,79.5
01/05/2015 ,79.58
04/05/2015 ,79.27
05/05/2015 ,80.79
06/05/2015 ,80.08
07/05/2015 ,80.75
08/05/2015 ,82.09
11/05/2015 ,84.28
12/05/2015 ,83.38
13/05/2015 ,82.87
14/05/2015 ,83.84
15/05/2015 ,87.61
18/05/2015 ,88.27
19/05/2015 ,88.07
20/05/2015 ,88.79
21/05/2015 ,89
22/05/2015 ,88.84
26/05/2015 ,87.99
27/05/2015 ,89.86
28/05/2015 ,89.51
29/05/2015 ,89.15
01/06/2015 ,89
02/06/2015 ,89.13
03/06/2015 ,88.81
04/06/2015 ,89.35
05/06/2015 ,90.46
08/06/2015 ,89.6
09/06/2015 ,92.45
10/06/2015 ,95.87
11/06/2015 ,95.09
12/06/2015 ,94.42
15/06/2015 ,93.43
16/06/2015 ,95.27
17/06/2015 ,94.27
18/06/2015 ,94.74
19/06/2015 ,93.87
22/06/2015 ,96.41
23/06/2015 ,97.31
24/06/2015 ,96.94
25/06/2015 ,94.89
26/06/2015 ,93.09
29/06/2015 ,92.23
30/06/2015 ,93.85
01/07/2015 ,93.64
02/07/2015 ,94.04
06/07/2015 ,94.57
07/07/2015 ,94.09
08/07/2015 ,93.51
09/07/2015 ,95.73
10/07/2015 ,97.23
13/07/2015 ,101.09
14/07/2015 ,100.37
15/07/2015 ,98.13
16/07/2015 ,115.81
17/07/2015 ,114.77
20/07/2015 ,110.55
21/07/2015 ,112.51
22/07/2015 ,111.5
23/07/2015 ,110.1
24/07/2015 ,109.34
27/07/2015 ,106.43
28/07/2015 ,106.9
29/07/2015 ,107.08
30/07/2015 ,111.56
31/07/2015 ,114.31
03/08/2015 ,112.56
04/08/2015 ,121.15
05/08/2015 ,123.71
06/08/2015 ,126.45
07/08/2015 ,123.52
10/08/2015 ,123.03
11/08/2015 ,122.74
12/08/2015 ,120.51
13/08/2015 ,123.73
14/08/2015 ,123.39
17/08/2015 ,125.36
18/08/2015 ,124.05
19/08/2015 ,122.06
20/08/2015 ,112.49
21/08/2015 ,103.96
24/08/2015 ,96.88
25/08/2015 ,101.52
26/08/2015 ,110.13
27/08/2015 ,117.66
28/08/2015 ,117.63
31/08/2015 ,115.03
01/09/2015 ,105.79
02/09/2015 ,105.44
03/09/2015 ,101.06
04/09/2015 ,98.79
08/09/2015 ,94.95
09/09/2015 ,99.18
10/09/2015 ,99.48
11/09/2015 ,97.51
14/09/2015 ,95.69
15/09/2015 ,99.16
16/09/2015 ,104.08
17/09/2015 ,104.21
18/09/2015 ,102.62
21/09/2015 ,100.3
22/09/2015 ,98.47
23/09/2015 ,98.07
24/09/2015 ,103.76
25/09/2015 ,102.24
28/09/2015 ,99.47
29/09/2015 ,98.35
30/09/2015 ,103.26
01/10/2015 ,105.98
02/10/2015 ,106.11
05/10/2015 ,111.25
06/10/2015 ,108.33
07/10/2015 ,108.1
08/10/2015 ,114.93
09/10/2015 ,113.33
12/10/2015 ,113.45
13/10/2015 ,109.73
14/10/2015 ,110.23
15/10/2015 ,101.09
16/10/2015 ,98.99
19/10/2015 ,101.69
20/10/2015 ,98.99
21/10/2015 ,97.96
22/10/2015 ,97.32
23/10/2015 ,100.04
26/10/2015 ,103.04
27/10/2015 ,103.07
28/10/2015 ,105.8
29/10/2015 ,105.12
30/10/2015 ,108.38
02/11/2015 ,107.64
03/11/2015 ,109.74
04/11/2015 ,114.05
05/11/2015 ,113.5
06/11/2015 ,114.06
09/11/2015 ,109.86
10/11/2015 ,112.7
11/11/2015 ,112.86
12/11/2015 ,108.92
13/11/2015 ,103.65
16/11/2015 ,111.35
17/11/2015 ,117.1
18/11/2015 ,120.63
19/11/2015 ,120.22
20/11/2015 ,123.84
23/11/2015 ,125.03
24/11/2015 ,123.31
25/11/2015 ,124.16
27/11/2015 ,125.44
30/11/2015 ,123.33
01/12/2015 ,125.37
02/12/2015 ,128.93
03/12/2015 ,126.81
04/12/2015 ,130.93
07/12/2015 ,125.36
08/12/2015 ,126.98
09/12/2015 ,124.2
10/12/2015 ,122.91
11/12/2015 ,118.91
14/12/2015 ,120.67
15/12/2015 ,118.6
16/12/2015 ,122.64
17/12/2015 ,122.51
18/12/2015 ,118.02
21/12/2015 ,116.63
22/12/2015 ,116.24
23/12/2015 ,118.16
24/12/2015 ,117.33
28/12/2015 ,117.11
29/12/2015 ,119.12
30/12/2015 ,116.71
