Date,Close
02/01/2015 ,308.52
05/01/2015 ,302.19
06/01/2015 ,295.29
07/01/2015 ,298.42
08/01/2015 ,300.46
09/01/2015 ,296.93
12/01/2015 ,291.41
13/01/2015 ,294.74
14/01/2015 ,293.27
15/01/2015 ,286.95
16/01/2015 ,290.74
20/01/2015 ,289.44
21/01/2015 ,297.25
22/01/2015 ,310.32
23/01/2015 ,312.39
26/01/2015 ,309.66
27/01/2015 ,306.75
28/01/2015 ,303.91
29/01/2015 ,311.78
30/01/2015 ,354.53
02/02/2015 ,364.47
03/02/2015 ,363.55
04/02/2015 ,364.75
05/02/2015 ,373.89
06/02/2015 ,374.28
09/02/2015 ,370.56
10/02/2015 ,373
11/02/2015 ,375.14
12/02/2015 ,377.17
13/02/2015 ,381.83
17/02/2015 ,375.43
18/02/2015 ,373.37
19/02/2015 ,379
20/02/2015 ,383.66
23/02/2015 ,380.14
24/02/2015 ,378.59
25/02/2015 ,385.37
26/02/2015 ,384.8
27/02/2015 ,380.16
02/03/2015 ,385.66
03/03/2015 ,384.61
04/03/2015 ,382.72
05/03/2015 ,387.83
06/03/2015 ,380.09
09/03/2015 ,378.56
10/03/2015 ,369.51
11/03/2015 ,366.37
12/03/2015 ,374.24
13/03/2015 ,370.58
16/03/2015 ,373.35
17/03/2015 ,371.92
18/03/2015 ,375.14
19/03/2015 ,373.24
20/03/2015 ,378.49
23/03/2015 ,375.11
24/03/2015 ,374.09
25/03/2015 ,370.96
26/03/2015 ,367.35
27/03/2015 ,370.56
30/03/2015 ,374.59
31/03/2015 ,372.1
01/04/2015 ,370.26
02/04/2015 ,372.25
06/04/2015 ,377.04
07/04/2015 ,374.41
08/04/2015 ,381.2
09/04/2015 ,383.54
10/04/2015 ,382.65
13/04/2015 ,382.36
14/04/2015 ,385.11
15/04/2015 ,383.45
16/04/2015 ,386.04
17/04/2015 ,375.56
20/04/2015 ,389.51
21/04/2015 ,391.18
22/04/2015 ,389.8
23/04/2015 ,389.99
24/04/2015 ,445.1
27/04/2015 ,438.56
28/04/2015 ,429.31
29/04/2015 ,429.37
30/04/2015 ,421.78
01/05/2015 ,422.87
04/05/2015 ,423.04
05/05/2015 ,421.19
06/05/2015 ,419.1
07/05/2015 ,426.88
08/05/2015 ,433.69
11/05/2015 ,432.85
12/05/2015 ,431.02
13/05/2015 ,426.87
14/05/2015 ,432.28
15/05/2015 ,426
18/05/2015 ,425.24
19/05/2015 ,421.71
20/05/2015 ,423.86
21/05/2015 ,431.63
22/05/2015 ,427.63
26/05/2015 ,425.47
27/05/2015 ,431.42
28/05/2015 ,426.57
29/05/2015 ,429.23
01/06/2015 ,430.92
02/06/2015 ,430.99
03/06/2015 ,436.59
04/06/2015 ,430.78
05/06/2015 ,426.95
08/06/2015 ,423.5
09/06/2015 ,425.48
10/06/2015 ,430.77
11/06/2015 ,432.97
12/06/2015 ,429.92
15/06/2015 ,423.67
16/06/2015 ,427.26
17/06/2015 ,427.81
18/06/2015 ,439.39
19/06/2015 ,434.92
22/06/2015 ,436.29
23/06/2015 ,445.99
24/06/2015 ,440.84
25/06/2015 ,440.1
26/06/2015 ,438.1
29/06/2015 ,429.86
30/06/2015 ,434.09
01/07/2015 ,437.39
02/07/2015 ,437.71
06/07/2015 ,436.04
07/07/2015 ,436.72
08/07/2015 ,429.7
09/07/2015 ,434.39
10/07/2015 ,443.51
13/07/2015 ,455.57
14/07/2015 ,465.57
15/07/2015 ,461.19
16/07/2015 ,475.48
17/07/2015 ,483.01
20/07/2015 ,488.1
21/07/2015 ,488
22/07/2015 ,488.27
23/07/2015 ,482.18
24/07/2015 ,529.42
27/07/2015 ,531.41
28/07/2015 ,526.03
29/07/2015 ,529
30/07/2015 ,536.76
31/07/2015 ,536.15
03/08/2015 ,535.03
04/08/2015 ,531.9
05/08/2015 ,537.01
06/08/2015 ,529.46
07/08/2015 ,522.62
10/08/2015 ,524
11/08/2015 ,527.46
12/08/2015 ,525.91
13/08/2015 ,529.66
14/08/2015 ,531.52
17/08/2015 ,535.22
18/08/2015 ,535.02
19/08/2015 ,532.92
20/08/2015 ,515.78
21/08/2015 ,494.47
24/08/2015 ,463.37
25/08/2015 ,466.37
26/08/2015 ,500.77
27/08/2015 ,518.37
28/08/2015 ,518.01
31/08/2015 ,512.89
01/09/2015 ,496.54
02/09/2015 ,510.55
03/09/2015 ,504.72
04/09/2015 ,499
08/09/2015 ,517.54
09/09/2015 ,516.89
10/09/2015 ,522.24
11/09/2015 ,529.44
14/09/2015 ,521.38
15/09/2015 ,522.37
16/09/2015 ,527.39
17/09/2015 ,538.87
18/09/2015 ,540.26
21/09/2015 ,548.39
22/09/2015 ,538.4
23/09/2015 ,536.07
24/09/2015 ,533.75
25/09/2015 ,524.25
28/09/2015 ,504.06
29/09/2015 ,496.07
30/09/2015 ,511.89
01/10/2015 ,520.72
02/10/2015 ,532.54
05/10/2015 ,543.68
06/10/2015 ,537.48
07/10/2015 ,541.94
08/10/2015 ,533.16
09/10/2015 ,539.8
12/10/2015 ,550.19
13/10/2015 ,548.9
14/10/2015 ,544.83
15/10/2015 ,562.44
16/10/2015 ,570.76
19/10/2015 ,573.15
20/10/2015 ,560.88
21/10/2015 ,555.77
22/10/2015 ,563.91
23/10/2015 ,599.03
26/10/2015 ,608.61
27/10/2015 ,611.01
28/10/2015 ,617.1
29/10/2015 ,626.55
30/10/2015 ,625.9
02/11/2015 ,628.35
03/11/2015 ,625.31
04/11/2015 ,640.95
05/11/2015 ,655.65
06/11/2015 ,659.37
09/11/2015 ,655.49
10/11/2015 ,659.68
11/11/2015 ,673.25
12/11/2015 ,665.6
13/11/2015 ,642.35
16/11/2015 ,647.81
17/11/2015 ,643.3
18/11/2015 ,663.54
19/11/2015 ,661.27
20/11/2015 ,668.45
23/11/2015 ,678.99
24/11/2015 ,671.15
25/11/2015 ,675.34
27/11/2015 ,673.26
30/11/2015 ,664.8
01/12/2015 ,679.06
02/12/2015 ,676.01
03/12/2015 ,666.25
04/12/2015 ,672.64
07/12/2015 ,669.83
08/12/2015 ,677.33
09/12/2015 ,664.79
10/12/2015 ,662.32
11/12/2015 ,640.15
14/12/2015 ,657.91
15/12/2015 ,658.64
16/12/2015 ,675.77
17/12/2015 ,670.65
18/12/2015 ,664.14
21/12/2015 ,664.51
22/12/2015 ,663.15
23/12/2015 ,663.7
24/12/2015 ,662.79
28/12/2015 ,675.2
29/12/2015 ,693.97
30/12/2015 ,689.07
