Date,Close
02/01/2015 ,93.75
05/01/2015 ,92.38
06/01/2015 ,91.89
07/01/2015 ,92.83
08/01/2015 ,93.79
09/01/2015 ,94.25
12/01/2015 ,94.46
13/01/2015 ,95.19
14/01/2015 ,94.23
15/01/2015 ,94.35
16/01/2015 ,95.18
20/01/2015 ,94.74
21/01/2015 ,94.17
22/01/2015 ,95.15
23/01/2015 ,94.72
26/01/2015 ,94.97
27/01/2015 ,93.97
28/01/2015 ,92.67
29/01/2015 ,93.22
30/01/2015 ,90.96
02/02/2015 ,91.93
03/02/2015 ,94.1
04/02/2015 ,101.28
05/02/2015 ,102.64
06/02/2015 ,102.02
09/02/2015 ,101.73
10/02/2015 ,101.92
11/02/2015 ,101.87
12/02/2015 ,103.58
13/02/2015 ,104.17
17/02/2015 ,104.12
18/02/2015 ,103.86
19/02/2015 ,103.89
20/02/2015 ,104.55
23/02/2015 ,104.99
24/02/2015 ,104.67
25/02/2015 ,105.57
26/02/2015 ,104.56
27/02/2015 ,104.08
02/03/2015 ,105.89
03/03/2015 ,106.35
04/03/2015 ,105.57
05/03/2015 ,105.03
06/03/2015 ,103.82
09/03/2015 ,105.26
10/03/2015 ,103.09
11/03/2015 ,102.89
12/03/2015 ,107.17
13/03/2015 ,106.44
16/03/2015 ,107.37
17/03/2015 ,106.96
18/03/2015 ,107.97
19/03/2015 ,107.37
20/03/2015 ,108.43
23/03/2015 ,108.22
24/03/2015 ,107.11
25/03/2015 ,105
26/03/2015 ,105.24
27/03/2015 ,105.48
30/03/2015 ,106.12
31/03/2015 ,104.89
01/04/2015 ,105.44
02/04/2015 ,106
06/04/2015 ,105.63
07/04/2015 ,105.43
08/04/2015 ,106.36
09/04/2015 ,106.77
10/04/2015 ,106.95
13/04/2015 ,106.51
14/04/2015 ,106.66
15/04/2015 ,106.98
16/04/2015 ,108.1
17/04/2015 ,106.69
20/04/2015 ,108.22
21/04/2015 ,107.68
22/04/2015 ,107.94
23/04/2015 ,109
24/04/2015 ,109.53
27/04/2015 ,110.16
28/04/2015 ,109.92
29/04/2015 ,109.81
30/04/2015 ,108.72
01/05/2015 ,110.52
04/05/2015 ,111.03
05/05/2015 ,110.81
06/05/2015 ,109.72
07/05/2015 ,109.26
08/05/2015 ,110.11
11/05/2015 ,108.6
12/05/2015 ,109.24
13/05/2015 ,109.19
14/05/2015 ,109.93
15/05/2015 ,110.3
18/05/2015 ,110.33
19/05/2015 ,110.56
20/05/2015 ,110.2
21/05/2015 ,110.39
22/05/2015 ,110.26
26/05/2015 ,109.44
27/05/2015 ,110.37
28/05/2015 ,110.53
29/05/2015 ,110.37
01/06/2015 ,110.96
02/06/2015 ,110.75
03/06/2015 ,111.17
04/06/2015 ,110.3
05/06/2015 ,110.3
08/06/2015 ,109.29
09/06/2015 ,108.52
10/06/2015 ,110
11/06/2015 ,110.62
12/06/2015 ,109.95
15/06/2015 ,110.18
16/06/2015 ,111.06
17/06/2015 ,111.49
18/06/2015 ,113.22
19/06/2015 ,112.62
22/06/2015 ,113.53
23/06/2015 ,114.41
24/06/2015 ,113.77
25/06/2015 ,114.45
26/06/2015 ,114.99
29/06/2015 ,113.05
30/06/2015 ,114.14
01/07/2015 ,115.13
02/07/2015 ,114.97
06/07/2015 ,115.7
07/07/2015 ,117.1
08/07/2015 ,115.19
09/07/2015 ,115.6
10/07/2015 ,116.44
13/07/2015 ,118.05
14/07/2015 ,117.85
15/07/2015 ,118.3
16/07/2015 ,119.07
17/07/2015 ,118.86
20/07/2015 ,119.58
21/07/2015 ,119.31
22/07/2015 ,119.33
23/07/2015 ,118.8
24/07/2015 ,118.91
27/07/2015 ,118.25
28/07/2015 ,118.46
29/07/2015 ,119.84
30/07/2015 ,120.03
31/07/2015 ,120
03/08/2015 ,121.12
04/08/2015 ,121.69
05/08/2015 ,110.53
06/08/2015 ,108.55
07/08/2015 ,109.35
10/08/2015 ,111
11/08/2015 ,108
12/08/2015 ,106.99
13/08/2015 ,107.52
14/08/2015 ,107.16
17/08/2015 ,109.05
18/08/2015 ,106.94
19/08/2015 ,106.45
20/08/2015 ,100.02
21/08/2015 ,98.84
24/08/2015 ,95.36
25/08/2015 ,95.89
26/08/2015 ,99.23
27/08/2015 ,102.17
28/08/2015 ,102.48
31/08/2015 ,101.88
01/09/2015 ,99.51
02/09/2015 ,101.89
03/09/2015 ,101.99
04/09/2015 ,100.97
08/09/2015 ,104.01
09/09/2015 ,101.91
10/09/2015 ,102.6
11/09/2015 ,104.48
14/09/2015 ,103.82
15/09/2015 ,103.43
16/09/2015 ,103.96
17/09/2015 ,104.2
18/09/2015 ,102.84
21/09/2015 ,103.41
22/09/2015 ,102.49
23/09/2015 ,101.57
